Nome;|V| [kV];|V| [kV];|V| [kV];|V| [pu];|V| [pu];|V| [pu];arg(V) [°];arg(V) [°];arg(V) [°];Nome;|V| [kV];|V| [kV];|V| [kV];|V| [pu];|V| [pu];|V| [pu];arg(V) [°];arg(V) [°];arg(V) [°]
Barra 106;14,08195;14,11913;14,15512;1,020431;1,023125;1,025733;-0,184977;-120,289324;119,854805;Barra 106;14,139017;14,176174;14,21375;1,024566;1,027259;1,029982;-0,544834;-120,655148;119,489839
Barra 103;14,081777;14,118955;14,154945;1,020419;1,023113;1,025721;-0,18531;-120,289653;119,85447;Barra 103;14,138843;14,175998;14,213574;1,024554;1,027246;1,029969;-0,545167;-120,655477;119,489504
Barra 114;14,081423;14,118598;14,154587;1,020393;1,023087;1,025695;-0,185987;-120,290325;119,853786;Barra 114;14,138488;14,17564;14,213214;1,024528;1,02722;1,029943;-0,545844;-120,656149;119,48882
Barra 87;14,070855;14,111186;14,150077;1,019627;1,02255;1,025368;-0,183576;-120,296539;119,860073;Barra 87;14,130009;14,17034;14,210886;1,023914;1,026836;1,029774;-0,55634;-120,675526;119,482037
Barra 90;14,067704;14,108613;14,148042;1,019399;1,022363;1,02522;-0,185293;-120,299846;119,859063;Barra 90;14,127318;14,16823;14,209328;1,023719;1,026683;1,029661;-0,560904;-120,681729;119,478148
Barra 96;14,066837;14,108296;14,14757;1,019336;1,02234;1,025186;-0,186978;-120,301109;119,858865;Barra 96;14,126676;14,168144;14,209092;1,023672;1,026677;1,029644;-0,563423;-120,683851;119,477109
Barra 2042;13,973006;14,108119;13,603279;1,012537;1,022327;0,985745;-1,018906;-119,855316;119,691681;Barra 2042;14,055787;14,191708;13,685726;1,018535;1,028385;0,991719;-1,502748;-120,347576;119,201759
Barra 2044;13,973004;14,108115;13,603294;1,012537;1,022327;0,985746;-1,018882;-119,855336;119,691671;Barra 2044;14,055784;14,191704;13,685741;1,018535;1,028384;0,99172;-1,502724;-120,347595;119,201749
Barra 2024;13,973003;14,108113;13,6033;1,012536;1,022327;0,985746;-1,018874;-119,855344;119,691671;Barra 2024;14,055783;14,191703;13,685747;1,018535;1,028384;0,991721;-1,502716;-120,347604;119,201749
Barra 2005;13,972996;14,108104;13,60334;1,012536;1,022326;0,985749;-1,018814;-119,855396;119,691653;Barra 2005;14,055776;14,191693;13,685787;1,018535;1,028384;0,991724;-1,502656;-120,347656;119,201731
Barra 92;14,067183;14,108034;14,147673;1,019361;1,022321;1,025194;-0,185451;-120,300453;119,858677;Barra 92;14,126871;14,167724;14,209035;1,023686;1,026647;1,02964;-0,561521;-120,682801;119,477298
Barra 1981;13,97294;14,108024;13,603671;1,012532;1,022321;0,985773;-1,018316;-119,855831;119,691503;Barra 1981;14,05572;14,191613;13,686121;1,01853;1,028378;0,991748;-1,502158;-120,348091;119,201581
Barra 94;14,067117;14,10802;14,147448;1,019356;1,02232;1,025177;-0,18642;-120,300963;119,857927;Barra 94;14,126728;14,167635;14,208732;1,023676;1,02664;1,029618;-0,56203;-120,682844;119,477013
Barra 1946;13,972642;14,107597;13,605455;1,01251;1,02229;0,985903;-1,015641;-119,858171;119,690695;Barra 1946;14,05542;14,191183;13,687915;1,018509;1,028347;0,991878;-1,499482;-120,350431;119,200773
Barra 2001;13,972519;14,107421;13,606189;1,012501;1,022277;0,985956;-1,014539;-119,859134;119,690362;Barra 2001;14,055297;14,191006;13,688654;1,0185;1,028334;0,991931;-1,49838;-120,351395;119,20044
Barra 2008;13,972508;14,107405;13,606254;1,012501;1,022276;0,98596;-1,014442;-119,859219;119,690333;Barra 2008;14,055286;14,19099;13,688719;1,018499;1,028333;0,991936;-1,498283;-120,351479;119,200411
Barra 1971;13,972502;14,107396;13,606291;1,0125;1,022275;0,985963;-1,014387;-119,859267;119,690316;Barra 1971;14,05528;14,190981;13,688756;1,018499;1,028332;0,991939;-1,498228;-120,351528;119,200394
Barra 1982;13,972494;14,107384;13,606341;1,0125;1,022274;0,985967;-1,014311;-119,859334;119,690293;Barra 1982;14,055271;14,190969;13,688807;1,018498;1,028331;0,991943;-1,498152;-120,351594;119,200372
Barra 1952;13,972493;14,107383;13,606345;1,012499;1,022274;0,985967;-1,014305;-119,859339;119,690291;Barra 1952;14,055271;14,190968;13,688811;1,018498;1,028331;0,991943;-1,498146;-120,3516;119,20037
Barra 1940;13,972459;14,107334;13,606549;1,012497;1,022271;0,985982;-1,014;-119,859606;119,690199;Barra 1940;14,055236;14,190919;13,689016;1,018495;1,028327;0,991958;-1,497841;-120,351866;119,200278
Barra 1927;13,972456;14,10733;13,606568;1,012497;1,02227;0,985983;-1,013971;-119,859631;119,690191;Barra 1927;14,055233;14,190914;13,689035;1,018495;1,028327;0,991959;-1,497812;-120,351891;119,200269
Barra 1984;13,972416;14,107273;13,606805;1,012494;1,022266;0,986;-1,013614;-119,859943;119,690083;Barra 1984;14,055193;14,190857;13,689274;1,018492;1,028323;0,991976;-1,497455;-120,352203;119,200161
Barra 2007;13,972416;14,107273;13,606804;1,012494;1,022266;0,986;-1,013617;-119,85994;119,690084;Barra 2007;14,055194;14,190857;13,689272;1,018492;1,028323;0,991976;-1,497458;-120,352201;119,200162
Barra 2009;13,972419;14,107276;13,60679;1,012494;1,022266;0,985999;-1,013637;-119,859923;119,69009;Barra 2009;14,055196;14,190861;13,689259;1,018492;1,028323;0,991975;-1,497478;-120,352184;119,200168
